#Size(bytes) MeanAllocTime(cycles) MeanFreeTime(cycles) MeanFreeTimeRFlag(cycles)
8 72.094 24.378 24.478
18 114.957 24.346 24.192
28 86.018 24.602 24.698
38 86.908 24.416 24.602
48 98.444 24.06 24.14
58 109.83 24.264 24.236
68 110.19 24.196 23.644
78 119.838 24.3 24.06
88 159.76 26.949 24.286
98 134.816 24.198 24.416
108 150.928 24.508 24.138
118 150.56 24.086 24.674
128 159.178 60.446 50.348
138 172.62 60.592 50.088
148 171.212 60.032 51.208
158 184.156 69.506 52.892
168 184.944 64.372 50.686
178 197.706 66.512 50.308
188 207.09 69.888 55.642
198 207.752 71.012 57.476
208 215.65 72.888 60.094
218 284.855 74.522 58.314
228 229.834 75.08 61.482
238 249.619 78.706 51.3
248 243.656 78.968 50.91
258 255.616 68.892 59.404
268 268.664 68.676 59.394
278 271.482 69.968 62.252
288 283.152 71.824 65.5
298 294.29 73.996 69.36
308 291.08 73.27 69.076
318 307.826 75.674 65.656
328 301.898 74.346 69.27
338 319.844 75.57 66.048
348 324.338 73.894 69.07
358 329.302 81.144 69.534
368 338.558 82.26 65.074
378 423.995 77.686 65.29
388 349.038 77.492 69.246
398 366.232 79.516 71.124
408 395.682 79.594 69.416
418 378.946 81.002 70.03
428 388.902 83.932 69.784
438 391.322 86.132 69.362
448 401.276 81.764 69.818
458 517.373 83.4 70.502
468 415.172 83.332 71.124
478 508.307 88 65.614
488 421.598 81.768 66.85
498 654.177 87.754 69.834
508 455.138 93.276 75.202
518 517.904 93.794 74.874
528 462.678 89.146 70.366
538 466.794 89.026 69.23
548 474.262 90.238 70.066
558 629.46 99.051 72.196
568 511.236 98.24 73.389
578 561.062 96.815 74.32
588 637.795 134.395 71.52
598 520.258 90.654 65.678
608 515.56 90.892 69.246
618 533.276 99.928 66.022
628 616.682 103.638 70.556
638 648.648 96.626 69.354
648 779.114 93.342 66.674
658 558.49 96.764 70.316
668 603.206 99.692 69.826
678 663.1 98.746 66.762
688 682.74 100.024 66.766
698 709.626 97.798 66.546
708 601.164 97.44 69.778
718 608.988 99.594 113.514
728 776.533 100.566 67.28
738 612.406 100.996 69.348
748 704.612 103.972 71.368
758 675.902 106.57 67.186
768 636.032 102.72 69.472
778 674.528 112.53 75.55
788 841.801 113.556 76.94
798 671.202 106.04 70.638
808 670.366 106.496 70.48
818 904.21 109.182 70.766
828 849.016 106.834 71.3
838 843.796 107.874 70.206
848 805.152 113.118 78.401
858 851.757 112 70.872
868 743.32 108.856 70.658
878 728.136 115.562 66.608
888 721.47 114.098 69.714
898 986.732 110.342 72.821
908 943.453 114.512 68.55
918 794.448 113.242 67.746
928 762.404 115.742 67.8
938 774.334 118.526 70.278
948 776.334 118.758 56.772
958 865.506 115.508 60.814
968 896.438 116.658 67.756
978 905.844 158.965 71.052
988 853.55 119.778 67.378
998 840.282 121.264 71.448
1008 834.166 118.532 67.342
1018 913.567 120.35 106.519
1028 1058.55 128.128 71.132
1038 1282.18 122.014 939.962
1048 845.624 120.288 940.402
1058 959.758 161.194 1038.11
1068 935.29 122.112 1036.44
1078 868.222 121.566 1037.41
1088 948.99 124.002 1073.06
1098 903.126 125.742 1052.54
1108 949.936 132.795 1142.56
1118 1169.56 130.616 1131.16
1128 1143.8 128.354 1212.69
1138 1126.5 128.44 1249.68
1148 1168.92 127.766 1067.88
1158 1027.29 127.256 1064
1168 1054.73 129.048 1068.02
1178 948.722 131.29 1071.15
1188 952.44 130.284 1072.45
1198 990.654 130.434 1163.32
1208 1066.67 129.58 1163.59
1218 1072.26 131.584 1166.55
1228 1142.78 134.608 1196.38
1238 1045.24 133.912 1182.84
1248 1103.73 136.37 1188.13
1258 1080.8 136.112 1186.64
1268 1191.99 136.282 1389.45
1278 1138.21 136.786 1207.77
1288 1134.06 138.588 1194.16
1298 1176.08 137.342 1194.56
1308 1047.27 140.27 1203.46
1318 1061.51 141.538 1198.24
1328 1063.77 140.632 1391.73
1338 1144.67 141.48 1337.98
1348 1227.36 142.362 1306.18
1358 1098.32 146.344 1413.64
1368 1085.43 142.11 1371.44
1378 1115.23 144.072 1315.68
1388 1128.3 145.518 1440.66
1398 1104.77 144.474 1416.59
1408 1303.22 149.934 1343.98
1418 1128.99 145.81 1324.69
1428 1190.96 147.698 1328.84
1438 1144.42 145.602 1334.13
1448 1157.33 147.51 1334.7
1458 1171.43 152.452 1332.84
1468 1172.42 151.346 1432.37
1478 1188.76 152.732 1435.35
1488 1198.55 154.746 1428.17
1498 1195.21 153.16 1446.57
1508 1233.79 151.51 1431.26
1518 1208.44 152.216 1442.47
1528 1274.21 155.044 1444.79
1538 1313.72 157.786 1454.58
1548 1247.91 157.636 1453.25
1558 1325.26 155.986 1445.67
1568 1239.14 154.906 1455.22
1578 1269.38 158.552 1463.81
1588 1316.08 156.742 1459.76
1598 1283.41 161.462 1551.22
1608 1355.12 159.672 1556.3
1618 1340.6 162.274 1559.47
1628 1303.63 161.988 1562.67
1638 1348.13 162.156 1553.4
1648 1300.03 162.642 1565.83
1658 1346.21 163.614 1680.51
1668 1366.1 163.834 1570.58
1678 1397.09 165.702 1571.8
1688 1341.28 166.77 1575.52
1698 1388.41 167.768 1578
1708 1475.85 166.98 1661.17
1718 1467.36 167.668 1580.79
1728 1443.25 168.492 1619.17
1738 1473.48 168.57 1681.73
1748 1458.49 170.436 1679.31
1758 1451.58 171.676 1684.59
1768 1938.74 172.038 1674.82
1778 1503.34 170.792 1680.83
1788 1499.94 172.226 1682.75
1798 1497.66 171.468 1696.96
1808 1467.76 173.368 1692.4
1818 1498.57 176.704 1695
1828 1440.21 173.79 1695.77
1838 1450.68 175.292 1699.52
1848 1481.59 174.634 1706.61
1858 1571.05 177.402 1898.1
1868 1729.13 177.186 2169.74
1878 1820.03 189.979 2043.56
1888 1796.08 191.207 2157.09
1898 2173.3 199.543 1987.96
1908 2354.33 179.416 1805.67
1918 1620.78 180.39 1863.59
1928 1503.37 181.284 1943.17
1938 2417.6 179.204 1818.67
1948 1550.81 187.456 1824.4
1958 1593.27 184.008 1996.38
1968 2019.46 189.476 1842.76
1978 1646.4 186.5 1835.23
1988 1642.49 186.558 1962.64
1998 1915.55 197.972 2032.18
2008 1660.81 191.714 1924.02
2018 1670.12 187.602 2202.4
2028 1700.11 186.48 1934.34
2038 1641.03 186.292 1924.47
2048 1604.94 193.866 1940.33
2058 1666.37 190.746 2119.41
2068 1767.97 192.344 1944.28
2078 1629.94 190.754 1947.26
2088 1644.24 258.106 2074.5
2098 1722 193.74 1945.09
2108 1725.51 199.658 2096.84
2118 1711.91 200.47 1952.01
2128 1656.44 194.638 1960.5
2138 1731.95 249.091 2153.19
2148 1714.42 195.874 2069.01
2158 1705.98 200.252 2381.59
2168 1785.23 202.4 2054.82
2178 1742.76 202.214 2053.68
2188 1939.9 205.62 2074.71
2198 1794.94 199.134 2070.22
2208 1843.28 322.265 2255.35
2218 1816.55 203.646 2093.64
2228 1885.15 204.906 2080.74
2238 1949.86 239.609 2282.18
2248 1770.17 204.222 2196.07
2258 1806.13 205.54 2307.21
2268 1915.32 215.63 2170.04
2278 1769.68 214.384 2425.39
2288 1778.99 212.006 2308.38
2298 2078.34 208.592 2196.41
2308 1814.32 209.578 2377.51
2318 1803.93 209.59 2196.92
2328 1807.57 212.874 2194.54
2338 1856.19 249.866 2266.36
2348 1975.51 216.744 2214.47
2358 2057.28 290.406 2359.04
2368 2003.43 215.096 2217.47
2378 1915.72 215.734 2394.58
2388 1851.24 213.54 2214.66
2398 1863.08 218.75 2357.34
2408 2010.02 219.298 2223.88
2418 1919.88 218.378 2315.82
2428 1897.22 302.619 2451.23
2438 1889.64 216.056 2323.17
2448 1925.8 292.216 2536.16
2458 2091.07 222.866 2513.47
2468 1985.26 219.966 2343.23
2478 1992.03 221.482 2511.1
2488 1922.45 220.164 2458.57
2498 1956.87 220.15 2333.28
2508 1946.07 282.81 2349.95
2518 2047.88 271.48 2340.12
2528 2020.44 340.862 2356.78
2538 2171.03 224.568 2546.93
2548 1984.04 221.438 2435.74
2558 1982.96 225.924 2580.64
2568 3969.51 235.144 2446.27
2578 2006.27 227.166 2560.64
2588 2011.65 290.558 2455.75
2598 2307.74 229.182 2720.28
2608 2047.78 229.326 2472.3
2618 2130.68 387.326 2629.1
2628 2129.07 232.626 2499.56
2638 2070.27 235.142 2491.82
2648 2101.49 286.668 2611.4
2658 2293.42 242.436 2488.54
2668 2106.02 284.853 2611.24
2678 3455.55 248.267 2724.23
2688 3259.09 238.56 2727.46
2698 3651.05 246.148 2766.96
2708 2090.72 235.698 2789.64
2718 2276.1 241.998 2812.24
2728 2101.13 236.78 2598.19
2738 2194.61 341.885 2600.5
2748 2480.12 242.752 2680.18
2758 4247.9 428.564 2887.43
2768 2216.59 249.626 2674.61
2778 2167.56 248.732 2633.87
2788 2520.63 250.064 2843.09
2798 2172.48 240.842 2740.21
2808 2356.69 329.812 2741.11
2818 2177.53 246.164 2715.46
2828 2402.85 249.18 2916.23
2838 2382.86 251.252 2722.3
2848 2222.7 246.806 2729.48
2858 2416.38 251.392 2915.42
2868 3425.43 248.702 2737.06
2878 2322.32 255.522 2873.35
2888 2362.76 252.84 2772
2898 2413.99 268.23 2975.91
2908 2418.63 258.726 2744.45
2918 2559 274.025 2811.38
2928 2441.01 290.174 2741.79
2938 2457.09 257.578 2743.26
2948 2306.42 257.048 2737.86
2958 2294.71 253.906 2883.26
2968 2526.96 285.902 2851.82
2978 2333.89 259.472 3106.28
2988 2331.55 281.148 2846.94
2998 2497.48 263.3 2871.16
3008 2811.22 271.91 3044.57
3018 2581 284.04 2880.95
3028 2354.23 347.982 3084.27
3038 2355.26 276.726 2982.97
3048 2513.19 283.19 2878.6
3058 2385 285.768 3100.49
3068 2490.26 287.922 2882.63
3078 2638.71 278.144 2904.33
3088 2456.71 303.026 3197.66
3098 2431.48 297.74 3115.24
3108 2443.78 289.716 3243.25
3118 2810.66 294.18 3012.27
3128 2592.97 294.484 3003.53
3138 2469.14 286.694 3221.45
3148 2512.18 291.716 3144.82
3158 2556.27 298.539 3011.21
3168 2506.25 286.936 3157.99
3178 2495.66 289.584 3237.53
3188 2567.38 291.444 3036.75
3198 2681.88 295.91 3026.35
3208 2538.09 289.696 3017.85
3218 2772.84 306.458 3118.98
3228 2557.12 289.912 3308.08
3238 2541.1 295.4 3290.97
3248 2543.65 294.736 3122.6
3258 2778.99 298.912 3121.95
3268 2657.48 344.704 3128.25
3278 2622.15 297.626 3406.57
3288 2668.3 305.304 3309.86
3298 2782.8 292.612 3134.55
3308 2743.49 312.589 3186.18
3318 2640.87 298.064 3341.09
3328 2681.82 306.112 3219.93
3338 2741.45 300.044 3150.39
3348 2828.43 299.718 3144.96
3358 2886.76 305.662 3239.19
3368 2850.52 303.83 3238.11
3378 2647.61 299.738 3465.86
3388 2680.9 305.014 3438.6
3398 2658.48 305.114 3457.51
3408 2697.41 314.142 3411
3418 2772.75 341.164 3568
3428 2956.68 304.49 3287.59
3438 2918.81 311.516 3274.08
3448 2722.25 307.208 3450.89
3458 2724.87 345.34 3292.89
3468 2710.23 444.328 3518.26
3478 2720.62 331.738 3270.93
3488 3066.05 368.832 3495.02
3498 2765.54 348.128 3363.11
3508 2886.06 335.74 3403.57
3518 2780.18 341.138 3364.08
3528 2894.27 334.168 3581.8
3538 2755.01 362.644 3473.01
3548 2974.53 336.08 3465.32
3558 2752.5 337.46 3383.05
3568 3008.73 342.89 3659.07
3578 2786.86 323.372 3424.47
3588 2980.45 353.647 3626.54
3598 2993.15 333.92 3387.39
3608 2776.25 311.312 3407.69
3618 3009.36 346.684 3632.77
3628 3143.97 350.81 3740.24
3638 3063.43 320.726 3623.88
3648 2833.93 351.508 3497.84
3658 3386.39 385.422 3525.24
3668 3020.78 366.37 3732.48
3678 2857.02 387.038 3530.13
3688 2999.27 379.058 3539.33
3698 2949.75 397.098 3748.47
3708 2872.79 343.964 3636.11
3718 2975.64 362.604 3747.64
3728 3060.81 355.086 3529.08
3738 2913.18 343.908 3639.69
3748 2991.63 344.128 3516.89
3758 3078.49 351.264 3823.92
3768 3194.25 397.518 3861.87
3778 3058.13 379.26 3873.98
3788 3007.49 420.618 3678.12
3798 3164.84 364.556 3769.33
3808 3017.69 359.104 3866.65
3818 2993.76 359.052 3692.28
3828 3181.87 361.75 3688.91
3838 3607.18 396.83 3963.95
3848 2970.8 417.2 3876.25
3858 3213.22 421.114 3705.2
3868 3360.63 400.302 3719.71
3878 3039.03 378.262 3924.83
3888 3725.11 454.888 3777.37
3898 3101.53 385.954 3853.98
3908 3280.16 496.267 3776.98
3918 3082.97 374.352 3968.45
3928 3085.79 367.84 4153.79
3938 3141.87 367.54 3945.33
3948 3108.25 374.746 3971.21
3958 3103.55 378.19 3931.86
3968 3105.62 403.966 3989.89
3978 3208 375.588 3986.21
3988 3133.06 370.834 3963.69
3998 3187.82 436.504 4077.51
4008 3232.46 433.997 3806.82
4018 3303.96 378.908 3814.67
4028 3168.05 450.996 4018.28
4038 3416.49 377.752 3971.28
4048 3346.4 373.072 3913.49
4058 3466.85 377.866 3914.19
4068 4063.69 440.976 3920.99
4078 3340.95 379.8 3953.25
4088 3361.01 427.532 4071.63
4098 3612.6 408.862 3889.39
4108 3493.26 387.154 3872.93
4118 3486.16 451.573 3949.42
4128 3150.19 369.316 4101.34
4138 3209.25 397.058 4114.37
4148 3218.65 373.686 4038.62
4158 3251.97 367.002 4022.72
4168 3147.38 391.262 4073.93
4178 3264.9 367.41 4100.84
4188 3329.08 364.13 4016.85
4198 3317.63 366.686 3907.11
4208 3368.35 374.256 3921.03
4218 3397.67 376.826 4217.9
4228 3377.36 378.214 4159.83
4238 3308.21 366.232 4149.31
4248 3349.56 380.474 4114.31
4258 3375.64 375.8 4056.26
4268 3245.61 375.936 3974.97
4278 3189.19 376.176 3894.47
4288 3332.38 389.732 3913.61
4298 3340.49 372.202 4163.45
4308 3465.63 383.074 4301.85
4318 3196.13 367.496 4164.59
4328 3456.24 373.21 4137.14
4338 3325.68 374.526 4093.1
4348 3170.45 369.926 4099.48
4358 3174.46 368.64 4127.73
4368 3272.65 411.992 4129.26
4378 3186.88 404.212 4123.62
4388 3240.52 368.98 4136.43
4398 3213.72 373.564 4081.96
4408 3152.67 371.774 4036.31
4418 3175.17 369.45 4038.55
4428 3325.82 386.426 3877.44
4438 3149.77 445.057 4076
4448 3158.05 375.224 3970.33
4458 3444.76 383.512 3899.87
4468 3327.1 472.297 4227.04
